Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Apartments,2,2,Semi-Furnished,700,Ready to Move,4,750,North-East,1,"₹ 35,00,000","Dwarka Sector 8, Delhi, Delhi",2 Bds - 2 Ba - 750 ft2
Builder Floors,2,2,Semi-Furnished,0,Under Construction,3,900,South-East,-,"₹ 45,00,000","Vishnu Garden, Delhi, Delhi",2 Bds - 2 Ba - 900 ft2
Builder Floors,1,1,-,335,Ready to Move,3,335,East,0,"₹ 11,50,000","Tilak Nagar, Delhi, Delhi",1 Bds - 1 Ba - 335 ft2
Builder Floors,3,3,Unfurnished,864,Ready to Move,3,864,-,0,"₹ 55,00,000","Tilak Nagar, Delhi, Delhi",3 Bds - 3 Ba - 864 ft2
Builder Floors,2,-,Semi-Furnished,450,Ready to Move,4,495,-,-,"₹ 24,00,000","Uttam Nagar, Delhi, Delhi",-
Builder Floors,2,2,Semi-Furnished,900,Ready to Move,4,1000,North-East,1,"₹ 1,10,00,000","Ramesh Nagar, Delhi, Delhi",2 Bds - 2 Ba - 1000 ft2
Builder Floors,2,2,Semi-Furnished,900,New Launch,4,1000,West,1,"₹ 1,30,00,000","Ramesh Nagar, Delhi, Delhi",2 Bds - 2 Ba - 1000 ft2
Houses & Villas,4+,4,Unfurnished,1500,Ready to Move,4,2000,North,1,"₹ 70,00,000","Hastsal, Delhi, Delhi",4+ Bds - 4 Ba - 2000 ft2
Builder Floors,3,3,Semi-Furnished,1850,Ready to Move,4,2000,East,1,"₹ 3,31,20,000","Punjabi Bagh West, Delhi, Delhi",3 Bds - 3 Ba - 2000 ft2
Builder Floors,3,2,Semi-Furnished,960,Ready to Move,4,960,South,1,"₹ 15,000","Chander Vihar, Delhi, Delhi",3 Bds - 2 Ba - 960 ft2
Houses & Villas,2,2,Unfurnished,50,Ready to Move,-,450,North,0,"₹ 25,00,000","Pratap Vihar, Delhi, Delhi",2 Bds - 2 Ba - 450 ft2
Builder Floors,3,3,Semi-Furnished,750,Ready to Move,4,800,West,1,"₹ 60,00,000","Uttam Nagar, Delhi, Delhi",3 Bds - 3 Ba - 800 ft2
Apartments,2,2,Semi-Furnished,700,Ready to Move,4,750,East,1,"₹ 35,00,000","Dwarka Sector 8, Delhi, Delhi",2 Bds - 2 Ba - 750 ft2
Builder Floors,3,2,Semi-Furnished,1350,Ready to Move,4,1500,North-East,1,"₹ 1,75,00,000","Ramesh Nagar, Delhi, Delhi",3 Bds - 2 Ba - 1500 ft2
Apartments,3,2,Semi-Furnished,1200,Ready to Move,2,1300,North-East,1,"₹ 80,00,000","Vikaspuri, Delhi, Delhi",3 Bds - 2 Ba - 1300 ft2
Builder Floors,1,1,Semi-Furnished,400,Ready to Move,4,450,North-East,0,"₹ 19,00,000","Uttam Nagar, Delhi, Delhi",1 Bds - 1 Ba - 450 ft2
Builder Floors,2,2,Semi-Furnished,580,Ready to Move,4,600,-,-,"₹ 26,00,000","Nawada, Delhi, Delhi",2 Bds - 2 Ba - 600 ft2
Builder Floors,1,1,Semi-Furnished,450,Ready to Move,4,500,West,0,"₹ 20,00,000","Uttam Nagar, Delhi, Delhi",1 Bds - 1 Ba - 500 ft2
Builder Floors,2,2,Semi-Furnished,570,Ready to Move,4,558,North-East,-,"₹ 32,00,000","Dwarka Mor, Delhi, Delhi",2 Bds - 2 Ba - 558 ft2
Builder Floors,2,2,Unfurnished,900,Ready to Move,4,1000,North-East,1,"₹ 1,27,00,000","Ramesh Nagar, Delhi, Delhi",2 Bds - 2 Ba - 1000 ft2
Builder Floors,2,1,Furnished,356,Ready to Move,3,356,East,0,"₹ 10,00,000","Chander Vihar, Delhi, Delhi",2 Bds - 1 Ba - 356 ft2
Houses & Villas,4,4,Furnished,500,Ready to Move,3,600,West,0,"₹ 55,00,000","Nangloi, Delhi, Delhi",4 Bds - 4 Ba - 600 ft2
Apartments,1,1,Semi-Furnished,450,Ready to Move,-,900,-,-,"₹ 16,00,000","Chander Vihar, Delhi, Delhi",1 Bds - 1 Ba - 900 ft2
