Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Apartments,2,2,Furnished,124,Ready to Move,5,124,East,1,"₹ 39,00,000","Nikol, Ahmedabad, Gujarat",2 Bds - 2 Ba - 124 ft2
Apartments,3,2,Semi-Furnished,150,Ready to Move,1,150,East,1,"₹ 60,00,000","Nava Vadaj, Ahmedabad, Gujarat",3 Bds - 2 Ba - 150 ft2
Apartments,3,3,Semi-Furnished,1000,Ready to Move,4,1404,North,1,"₹ 70,00,000","Navrangpura, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1404 ft2
Apartments,2,2,Furnished,648,Ready to Move,3,900,East,1,"₹ 44,00,000","Old Vadaj, Ahmedabad, Gujarat",2 Bds - 2 Ba - 900 ft2
Apartments,1,1,Unfurnished,640,Ready to Move,4,850,North-East,1,"₹ 15,00,000","Bapu Nagar, Ahmedabad, Gujarat",1 Bds - 1 Ba - 850 ft2
Apartments,1,1,Semi-Furnished,75,Ready to Move,6,75,East,0,"₹ 15,00,000","Khanpur,  Ahmedabad, Gujarat",1 Bds - 1 Ba - 75 ft2
Apartments,2,2,Semi-Furnished,105,Under Construction,5,70,South,1,"₹ 23,00,000","Narol, Ahmedabad, Gujarat",2 Bds - 2 Ba - 70 ft2
Apartments,2,3,Furnished,45,Ready to Move,2,90,North-East,0,"₹ 50,00,000","Danilimda, Ahmedabad, Gujarat",2 Bds - 3 Ba - 90 ft2
Houses & Villas,3,3,Furnished,375,Ready to Move,3,375,East,0,"₹ 48,00,000","Gheekanta, Ahmedabad, Gujarat",3 Bds - 3 Ba - 375 ft2
Houses & Villas,3,3,Semi-Furnished,150,Ready to Move,1,1350,North-East,1,"₹ 2,00,00,000","Thaltej, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1350 ft2
Apartments,3,3,Unfurnished,1250,Ready to Move,5,2000,North-East,1,"₹ 85,00,000","Nava Vadaj, Ahmedabad, Gujarat",3 Bds - 3 Ba - 2000 ft2
Apartments,2,2,Semi-Furnished,100,Ready to Move,7,900,North-East,1,"₹ 40,00,000","Chandkheda, Ahmedabad, Gujarat",2 Bds - 2 Ba - 900 ft2
Apartments,1,1,Semi-Furnished,612,Ready to Move,4,612,East,0,"₹ 22,00,000","Ranip, Ahmedabad, Gujarat",1 Bds - 1 Ba - 612 ft2
Apartments,3,2,Furnished,320,Ready to Move,12,2880,North-East,1,"₹ 1,50,00,000","Chandkheda, Ahmedabad, Gujarat",3 Bds - 2 Ba - 2880 ft2
Apartments,3,3,Unfurnished,990,Ready to Move,12,1800,East,1,"₹ 91,00,000","Gota, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1800 ft2
Houses & Villas,2,2,Semi-Furnished,700,Ready to Move,2,900,North-West,2,"₹ 72,00,000","Chandkheda, Ahmedabad, Gujarat",2 Bds - 2 Ba - 900 ft2
Apartments,2,2,Furnished,980,Ready to Move,5,1170,North,0,"₹ 51,00,000","Chandlodia, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1170 ft2
Houses & Villas,4,4,Semi-Furnished,4500,Ready to Move,2,5000,-,2,"₹ 4,50,00,000","Navrangpura, Ahmedabad, Gujarat",4 Bds - 4 Ba - 5000 ft2
Apartments,2,2,Semi-Furnished,860,Ready to Move,5,1225,East,1,"₹ 42,00,000","Chandkheda, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1225 ft2
-,-,-,-,-,-,-,-,-,-,-,-,-
